,1 precision,1 recall,1 F1,2 precision,2 recall,2 F1,3 precision,3 recall,3 F1
Writer2424,0.261,0.231,0.122,0.163,0.192,0.088,0.394,0.364,0.189
Writer2525,0.42,0.277,0.167,0.13,0.185,0.076,0.555,0.51,0.266
Writer2626,0.295,0.17,0.108,0.085,0.32,0.067,0.306,0.203,0.122
Writer2727,0.311,0.236,0.134,0.117,0.177,0.07,0.425,0.486,0.227
Writer2828,0.591,0.471,0.262,0.207,0.316,0.125,0.626,0.726,0.336
Writer2929,0.388,0.698,0.249,0.125,0.41,0.096,0.594,0.53,0.28
Writer3030,0.439,0.348,0.194,0.184,0.295,0.114,0.715,0.529,0.304
Writer3131,0.578,0.358,0.221,0.217,0.504,0.152,0.795,0.547,0.324
Writer3232,0.311,0.115,0.084,0.099,0.058,0.036,0.219,0.348,0.134
Writer3333,0.506,0.432,0.233,0.331,0.209,0.128,0.626,0.635,0.315
Writer3434,0.382,0.372,0.188,0.356,0.083,0.067,0.373,0.727,0.247
Writer3535,0.347,0.104,0.08,0.19,0.04,0.033,0.373,0.334,0.176
Writer3636,0.066,0.067,0.033,0.046,0.026,0.016,0.273,0.246,0.129
Writer3737,0.119,0.093,0.052,0.16,0.054,0.04,0.219,0.309,0.128
Writer3838,0.449,0.448,0.224,0.275,0.217,0.121,0.489,0.552,0.259
Writer3939,0.152,0.243,0.094,0.142,0.049,0.036,0.237,0.332,0.138
Writer4040,0.196,0.21,0.101,0.117,0.06,0.04,0.325,0.3,0.156
Writer4141,0.167,0.203,0.092,0.124,0.023,0.02,0.335,0.256,0.145
Writer4242,0.7,0.6,0.323,0.338,0.321,0.165,0.488,0.675,0.283
Writer4343,0.252,0.37,0.15,0.213,0.111,0.073,0.319,0.428,0.183
Writer4444,0.473,0.245,0.161,0.207,0.235,0.11,0.639,0.52,0.287
Writer4545,0.542,0.438,0.242,0.236,0.208,0.111,0.672,0.486,0.282
Writer4646,0.248,0.29,0.134,0.149,0.115,0.065,0.331,0.328,0.165
Writer4747,0.269,0.186,0.11,0.186,0.135,0.078,0.48,0.451,0.233
Writer4848,0.488,0.466,0.238,0.348,0.232,0.139,0.694,0.497,0.29
Writer4949,0.149,0.092,0.057,0.122,0.091,0.052,0.228,0.208,0.109
Writer5050,0.71,0.635,0.335,0.47,0.48,0.238,0.703,0.649,0.337
Writer5151,0.704,0.568,0.314,0.44,0.425,0.216,0.593,0.609,0.3
Writer5252,0.373,0.324,0.173,0.165,0.147,0.078,0.482,0.494,0.244
Writer5353,0.265,0.276,0.135,0.242,0.152,0.093,0.369,0.532,0.218
Writer5454,0.223,0.389,0.142,0.17,0.178,0.087,0.404,0.605,0.242
Writer5555,0.303,0.525,0.192,0.212,0.182,0.098,0.619,0.477,0.269
Writer5656,0.42,0.243,0.154,0.236,0.169,0.098,0.018,0.007,0.005
Writer5757,0.453,0.661,0.269,0.278,0.308,0.146,0.551,0.725,0.313
Writer5858,0.485,0.217,0.15,0.253,0.157,0.097,0.488,0.565,0.262
Writer5959,0.315,0.372,0.171,0.177,0.104,0.065,0.48,0.362,0.206
Writer6060,0.452,0.399,0.212,0.429,0.137,0.104,0.606,0.372,0.23
Writer6161,0.437,0.485,0.23,0.237,0.176,0.101,0.799,0.58,0.336
Writer6262,0.802,0.455,0.29,0.449,0.427,0.219,0.742,0.788,0.382
Writer6363,0.453,0.674,0.271,0.464,0.365,0.204,0.504,0.65,0.284
Writer6464,0.833,0.95,0.444,0.651,0.673,0.331,0.886,0.82,0.426
Writer6565,0.459,0.518,0.243,0.4,0.198,0.132,0.71,0.379,0.247
Writer6666,0.185,0.307,0.116,0.12,0.094,0.053,0.391,0.557,0.23
Writer6767,0.143,0.242,0.09,0.161,0.149,0.078,0.254,0.157,0.097
Writer6868,0.253,0.485,0.166,0.18,0.207,0.096,0.415,0.55,0.237
Writer6969,0.273,0.129,0.088,0.146,0.336,0.102,0.399,0.315,0.176
Writer7070,0.153,0.069,0.047,0.131,0.186,0.077,0.323,0.142,0.099
Writer7171,0.416,0.069,0.059,0.22,0.181,0.099,0.498,0.581,0.268
Writer7272,0.327,0.31,0.159,0.245,0.144,0.091,0.276,0.318,0.148
Writer7373,0.284,0.224,0.125,0.215,0.098,0.067,0.483,0.298,0.184
Writer7474,0.351,0.593,0.221,0.252,0.269,0.13,0.469,0.734,0.286
Writer7575,0.223,0.456,0.15,0.194,0.231,0.105,0.345,0.435,0.192
Writer7676,0.379,0.42,0.199,0.117,0.215,0.076,0.637,0.529,0.289
Writer7777,0.464,0.438,0.225,0.274,0.288,0.14,0.553,0.639,0.296
Writer7878,0.665,0.617,0.32,0.566,0.308,0.199,0.737,0.805,0.385
Writer7979,0.135,0.114,0.062,0.075,0.128,0.047,0.34,0.351,0.173
Writer8080,0.221,0.398,0.142,0.152,0.164,0.079,0.404,0.335,0.183
Writer8181,0.523,0.691,0.298,0.319,0.294,0.153,0.421,0.665,0.258
Writer8282,0.373,0.354,0.182,0.185,0.162,0.086,0.319,0.22,0.13
Writer8383,0.325,0.472,0.193,0.192,0.219,0.102,0.462,0.472,0.234
Writer8484,0.824,0.871,0.423,0.57,0.622,0.297,0.804,0.841,0.411
Writer8585,0.667,0.355,0.232,0.236,0.289,0.13,0.492,0.335,0.199
Writer8686,0.286,0.136,0.092,0.12,0.04,0.03,0.415,0.319,0.18
Writer8787,0.491,0.693,0.288,0.464,0.118,0.094,0.499,0.645,0.281
Writer8888,0.434,0.521,0.237,0.216,0.304,0.126,0.647,0.553,0.298
Writer8989,0.518,0.551,0.267,0.35,0.342,0.173,0.609,0.73,0.332
Writer9090,0.619,0.866,0.361,0.469,0.449,0.229,0.687,0.794,0.368
Writer9100,0.856,0.884,0.435,0.576,0.538,0.278,0.836,0.851,0.422
Writer9101,0.107,0.015,0.013,0.023,0.021,0.011,0.504,0.404,0.224
Writer9102,0.426,0.504,0.231,0.332,0.17,0.112,0.583,0.676,0.313
Writer9103,0.412,0.491,0.224,0.371,0.153,0.108,0.557,0.724,0.315
Writer9104,0.517,0.269,0.177,0.212,0.361,0.134,0.516,0.551,0.266
Writer9105,0.671,0.661,0.333,0.391,0.38,0.193,0.7,0.764,0.365
Writer9191,0.327,0.199,0.124,0.129,0.164,0.072,0.381,0.4,0.195
Writer9292,0.278,0.185,0.111,0.179,0.132,0.076,0.448,0.343,0.194
Writer9393,0.358,0.662,0.232,0.314,0.406,0.177,0.527,0.581,0.276
Writer9494,0.296,0.515,0.188,0.154,0.166,0.08,0.484,0.617,0.271
Writer9595,0.593,0.716,0.324,0.453,0.31,0.184,0.609,0.752,0.336
Writer9696,0.475,0.266,0.171,0.256,0.16,0.098,0.537,0.415,0.234
Writer9797,0.511,0.156,0.12,0.181,0.328,0.117,0.411,0.687,0.257
Writer9898,0.309,0.493,0.19,0.232,0.187,0.103,0.455,0.465,0.23
Writer9999,0.312,0.411,0.177,0.276,0.241,0.129,0.485,0.352,0.204
